Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp/Sequential::_wrapped_call_impl/Sequential::_call_impl/Sequential::forward/Linear::_wrapped_call_impl/Linear::_call_impl/Linear::forward/",88,4,4,12102017,1100183.4,1044391,1308314,1162778,105707.1,105182,106047,10775020,979547.3,932439,1164863,317253,28841.2,24256,32033
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/Sequential::_wrapped_call_impl/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/Sequential::_wrapped_call_impl/Sequential::_call_impl/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/Sequential::_wrapped_call_impl/Sequential::_call_impl/Sequential::forward/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/Sequential::_wrapped_call_impl/Sequential::_call_impl/Sequential::forward/Linear::_wrapped_call_impl/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/Sequential::_wrapped_call_impl/Sequential::_call_impl/Sequential::forward/Linear::_wrapped_call_impl/Linear::_call_impl/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::apply_mlp[2]/Sequential::_wrapped_call_impl/Sequential::_call_impl/Sequential::forward/Linear::_wrapped_call_impl/Linear::_call_impl/Linear::forward/",176,8,6,19621956,1783814.2,1730789,1815101,5403173,491197.5,490017,491840,17161488,1560135.3,1511598,1599070,987963,89814.8,81536,97341
"/module/run/dlrm_wrap/DLRM_Net::_wrapped_call_impl/DLRM_Net::_call_impl/DLRM_Net::forward/DLRM_Net::sequential_forward/DLRM_Net::interact_features/",99,2,1,3999560,363596.4,337422,530026,1072287,97480.6,97119,97921,3231130,293739.1,268312,456395,270562,24596.5,22176,28608
"/module/run/loss_fn_wrap/",22,0,0,4294488,390408.0,371024,410275,120482,10952.9,10656,11137,3828045,348004.1,332214,363995,559135,50830.5,46015,57600
